fight_id,fighter_id,fighter,kd,sub_att,rev,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_seconds
e1100fc357e61fba,b27a1fcb56a3035a,Trevin Giles,0,0,0,41.0,53.0,54.0,66.0,5.0,5.0,34.0,45.0,6.0,7.0,1.0,1.0,8.0,13.0,3.0,3.0,30.0,37.0,343.0
e1100fc357e61fba,984d15d5dc7bfcf9,James Bochnovic,0,0,0,5.0,24.0,15.0,35.0,0.0,1.0,1.0,19.0,2.0,3.0,2.0,2.0,4.0,23.0,0.0,0.0,1.0,1.0,8.0
09c1d4c96efd0545,2650e2f846a30f64,Amir Sadollah,0,0,0,95.0,256.0,96.0,257.0,0.0,8.0,45.0,170.0,20.0,51.0,30.0,35.0,88.0,243.0,7.0,13.0,0.0,0.0,59.0
09c1d4c96efd0545,84ac950d4c1722dd,Duane Ludwig,0,0,0,123.0,328.0,125.0,331.0,1.0,2.0,96.0,283.0,22.0,38.0,5.0,7.0,102.0,297.0,20.0,29.0,1.0,2.0,97.0
1e3d3545b6dd13a7,f86cb5f25d545e0e,Daniel Spitz,0,0,0,32.0,108.0,32.0,108.0,0.0,0.0,20.0,83.0,6.0,16.0,6.0,9.0,32.0,108.0,0.0,0.0,0.0,0.0,0.0
1e3d3545b6dd13a7,04c8b08b16a5b99e,Tanner Boser,0,0,0,93.0,151.0,93.0,151.0,0.0,0.0,33.0,86.0,25.0,27.0,35.0,38.0,93.0,151.0,0.0,0.0,0.0,0.0,0.0
5885445f39dac389,12f91bfa8f1f723b,Joanne Wood,0,0,0,26.0,49.0,33.0,57.0,1.0,1.0,6.0,25.0,9.0,9.0,11.0,15.0,24.0,45.0,0.0,1.0,2.0,3.0,131.0
5885445f39dac389,8e1f36476ef02a6a,Jennifer Maia,0,1,0,20.0,37.0,31.0,49.0,0.0,0.0,16.0,32.0,3.0,4.0,1.0,1.0,18.0,35.0,2.0,2.0,0.0,0.0,0.0
80551dceed42e7ab,2c1170b825f58e57,Guangyou Ning,0,0,0,46.0,92.0,77.0,130.0,2.0,2.0,30.0,68.0,8.0,13.0,8.0,11.0,39.0,82.0,0.0,1.0,7.0,9.0,193.0
80551dceed42e7ab,b9c03e7a4557e542,Royston Wee,0,0,0,18.0,32.0,29.0,43.0,0.0,0.0,3.0,15.0,6.0,6.0,9.0,11.0,18.0,32.0,0.0,0.0,0.0,0.0,0.0
