fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio,win
Daniel Spitz,f86cb5f25d545e0e,2019-10-17,Heavyweight,0.3333333333333333,3,-1,4.866666666666666,0.20000000000000004,0.13333333333333333,4.333333333333333,0.0,4.066666666666666,0.5333333333333333,0.26666666666666666,0.0,0.6810457516339868,0.05228758169934641,0.26666666666666666,0.5686274509803921,0.18300653594771243,0.24836601307189543,False
Joanne Wood,12f91bfa8f1f723b,2020-07-31,Women's Flyweight,0.6,10,1,12.870824555297048,0.44815761994614106,0.24336673566966494,28.76,0.049287925696594424,10.373439463608552,1.6275908183267078,0.8697942733617893,0.08,0.7310677780571119,0.13223794562640698,0.1366942763164812,0.42821782482116194,0.19057497709346177,0.3812071980853763,False
Jennifer Maia,8e1f36476ef02a6a,2020-07-31,Women's Flyweight,0.5,4,-1,12.15,0.1,0.05,28.75,0.0,10.05,1.95,0.15000000000000002,0.0,0.8242108829406295,0.1608723069618375,0.014916810097532988,0.6469167309632619,0.18199349120620412,0.17108977783053397,True
Guangyou Ning,2c1170b825f58e57,2015-05-15,Featherweight,1.0,1,1,6.2,0.6,0.4,24.8,0.0,5.6,0.6,0.0,0.2,0.9032258064516129,0.0967741935483871,0.0,0.41935483870967744,0.25806451612903225,0.3225806451612903,True
Royston Wee,b9c03e7a4557e542,2015-05-15,Bantamweight,1.0,2,2,1.4423076923076925,0.5088141025641026,0.40865384615384615,60.0,0.0,0.7692307692307693,0.22836538461538464,0.44471153846153844,0.0,0.3333333333333333,0.14583333333333331,0.5208333333333334,0.6041666666666666,0.08333333333333333,0.3125,False
Zach Reese,23dec7c47cb418f8,2025-01-17,Middleweight,0.6666666666666666,3,2,4.868347338935574,0.5042016806722689,0.2801120448179272,20.2,0.06666666666666667,3.3932773109243697,0.17871148459383754,1.296358543417367,0.12268907563025211,0.4477777777777778,0.09222222222222222,0.45999999999999996,0.7144444444444445,0.14444444444444446,0.1411111111111111,False
Pat Sabatini,b8bbdeff718dbb7d,2022-04-15,Featherweight,1.0,3,3,1.4247815023785817,0.5697686095296451,0.18611657177870256,40.0,0.033444816053511704,0.8009718569957535,0.19484796650412317,0.4289616788787051,0.2583812028219596,0.7243589743589745,0.09294871794871795,0.1826923076923077,0.7516025641025642,0.17307692307692304,0.07532051282051282,True
TJ Laramie,cd2e5a390821fb48,2022-04-15,Featherweight,0.0,1,-1,0.0,0.2,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Virna Jandiroba,7dda2cf308f24a02,2025-10-24,Women's Strawweight,0.7272727272727273,11,5,4.144888666107034,0.8689010657505627,0.29392480398909665,44.32727272727273,0.018181818181818184,3.3172468360904293,0.5051838090305659,0.3224580209860386,0.23421382509235242,0.7244415378639979,0.09566279036867273,0.1798956717673295,0.8754254024842261,0.11832159126276774,0.006253006253006252,False
Mackenzie Dern,7447e9f28508106a,2025-10-24,Women's Strawweight,0.6666666666666666,15,2,7.0950226173482,0.7117716244626544,0.11437353590177511,34.57333333333334,0.018383838383838384,5.386025862902939,0.729687679122895,0.9793090753223644,0.19477757630581552,0.7292204762841651,0.06135429889520635,0.20942522482062859,0.7486432324525467,0.12302930649357792,0.12832746105387524,True
Misha Cirkunov,67f272324a030d00,2019-09-13,Light Heavyweight,0.625,8,-1,3.75,0.42500000000000004,0.25,11.700000000000001,0.0,2.25,1.0,0.5,0.125,0.6394412878787878,0.2528409090909091,0.10771780303030304,0.5992683531746033,0.24926722582972582,0.151464420995671,True
Jimmy Crute,70e1f8a821b72c8b,2019-09-13,Light Heavyweight,1.0,2,2,2.4059171597633133,0.0591715976331361,0.0591715976331361,30.800000000000004,0.1,1.0183431952662723,0.0,1.3875739644970415,0.2366863905325444,0.38025210084033617,0.0,0.6197478991596639,0.7205882352941176,0.07142857142857142,0.20798319327731093,False
Lando Vannata,f9b200db02b488d9,2023-04-14,Featherweight,0.4166666666666667,12,-1,10.549999999999999,0.4333333333333334,0.18333333333333335,9.283333333333333,0.08333333333333333,9.133333333333333,0.8500000000000001,0.5666666666666667,0.05000000000000001,0.8269544696415277,0.06959642970787903,0.10344910065059319,0.5098157997143334,0.2721326906766485,0.21805150960901812,False
Daniel Zellhuber,4148802ae4a50768,2023-04-14,Lightweight,0.0,1,-1,10.4,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,1.0,0.0,0.0,0.36538461538461536,0.40384615384615385,0.23076923076923078,True
Sheldon Westcott,ec2d13a87d3d9541,2016-01-01,Welterweight,0.0,2,-2,2.15,0.9500000000000001,0.35,50.2,0.0,0.85,1.2999999999999998,0.0,0.0,0.3574660633484163,0.6425339366515836,0.0,0.5226244343891403,0.4095022624434389,0.06787330316742082,True
Edgar Garcia,8d49545dadf9b919,2016-01-01,Welterweight,0.0,3,-3,4.533333333333333,0.4666666666666666,0.26666666666666666,14.266666666666666,0.0,2.9333333333333336,0.4666666666666666,1.1333333333333335,0.06666666666666667,0.4808949220713927,0.11224233283056811,0.40686274509803927,0.8197586726998493,0.07943690296631473,0.10080442433383612,False
Mason Jones,f6ad6a1e4d600e0d,2021-10-22,Lightweight,0.0,2,-2,16.299999999999997,0.7,0.30000000000000004,27.200000000000003,0.0,11.5,2.0,2.8000000000000003,0.0,0.5640096618357487,0.14483463396506874,0.29115570419918246,0.7025269416573765,0.21822742474916387,0.07924563359345968,True
Sergei Pavlovich,f14cf73e51b29254,2023-04-21,Heavyweight,0.8333333333333334,6,5,3.633333333333333,0.06666666666666667,0.0,1.7000000000000002,0.20000000000000004,2.1666666666666665,0.6000000000000001,0.8666666666666667,0.0,0.6172689700183306,0.17417340403273907,0.20855762594893032,0.9487179487179488,0.038461538461538464,0.012820512820512822,True
Curtis Blaydes,fa6796c55d6c5440,2023-04-21,Heavyweight,0.75,16,3,5.25973576416729,0.9777985295962085,0.4954865364220432,36.05,0.025,2.5408791282545238,0.7639704501621314,1.954886185750634,0.0,0.5338572606643259,0.10896110238501544,0.3571816369506587,0.6881642833477073,0.1063318379826532,0.20550387866963957,False
Michael Chandler,4b93a88f3b1de35b,2025-04-11,Lightweight,0.3333333333333333,6,-2,9.968436578171092,0.4731563421828908,0.1551622418879056,24.3,0.06666666666666667,7.304129793510325,0.19233038348082596,2.471976401179941,0.03333333333333333,0.6281018029248276,0.014224429893881237,0.35767376718129107,0.677116244003936,0.22539922167908832,0.09748453431697557,False
Paddy Pimblett,7826923b47f8d72a,2025-04-11,Lightweight,1.0,6,6,6.588742964352721,0.34171357098186367,0.08542839274546592,16.733333333333334,0.052095059412132584,5.0382739212007515,0.5666666666666668,0.9838023764853032,0.2333333333333333,0.7267447591909774,0.10314149300382092,0.17011374780520172,0.5393954651310544,0.09926232413657733,0.3613422107323682,True
Antonio Carlos Junior,52e76bb4b3e852f3,2016-12-29,Middleweight,0.6666666666666666,6,1,3.3377280239489675,0.8947480328626228,0.4033334139427718,41.199999999999996,0.0,2.1010102790630776,0.3842420105120535,0.8524757343738361,0.09202018518610244,0.6557466108452951,0.11194677033492824,0.23230661881977674,0.5649853801169591,0.36135366826156295,0.07366095162147794,True
Marvin Vettori,7acbb0972e75281a,2016-12-29,Middleweight,1.0,1,1,2.0,0.2,0.2,5.2,0.0,0.4,0.0,1.6,0.2,0.2,0.0,0.8,1.0,0.0,0.0,False
Jessica Eye,f72465a784c1b084,2019-12-13,Women's Flyweight,0.36363636363636365,11,-1,9.194437103594082,0.16358350951374206,0.0766516913319239,16.545454545454547,0.0,7.59171511627907,1.2944106765327696,0.308311310782241,0.10108350951374208,0.8171308569424373,0.12670451166905067,0.05616463138851199,0.5789875725053559,0.14794632261050172,0.27306610488414235,True
Viviane Araujo,36541f1e6c5d4955,2019-12-13,Women's Flyweight,1.0,2,2,12.8,0.5,0.5,13.6,0.1,12.100000000000001,0.2,0.5,0.0,0.9448250550526058,0.014925373134328358,0.04024957181306582,0.6667482260827012,0.16332273060924885,0.16992904330804992,False
Priscila Cachoeira,b1e5bcaad32a3cac,2022-08-12,Women's Flyweight,0.42857142857142855,7,1,8.914285714285715,0.08571428571428573,0.028571428571428574,3.3999999999999995,0.028571428571428574,7.6000000000000005,1.2,0.1142857142857143,0.0,0.880370235050542,0.10248000649535179,0.017149758454106278,0.8230049121097714,0.14133073519262776,0.03566435269760078,True
Ariane da Silva,6551c64fbcd1a467,2022-08-12,Women's Flyweight,0.42857142857142855,7,1,7.27563025210084,0.14285714285714285,0.028571428571428574,24.571428571428573,0.0734074274871239,5.94990512333966,0.8285714285714285,0.4971537001897533,0.044835998915695306,0.8473255992849843,0.07483401948938327,0.07784038122563232,0.49547456471927986,0.4194700598449245,0.08505537543579567,False
Dmitrii Smoliakov,75afb06215a07341,2017-01-14,Heavyweight,0.0,1,-1,2.8,0.2,0.0,0.0,0.0,1.2,1.4,0.2,0.0,0.42857142857142855,0.5,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.14285714285714285,False
Cyril Asker,9be6020024133293,2017-01-14,Heavyweight,0.0,1,-1,2.6,0.6,0.0,8.0,0.0,2.4,0.2,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.7692307692307693,0.23076923076923078,0.0,True
Jim Miller,d1941565abf50b16,2015-07-24,Lightweight,0.7368421052631579,19,-2,4.4555747490599655,0.4836550332843686,0.16911744983858568,23.8,0.03157894736842106,2.7685210334250807,0.9504780221445754,0.7365756934903098,0.31303847964913967,0.600830580829945,0.18394802461900242,0.21522139455105274,0.5833822073240178,0.1948690974094491,0.22174869526653312,True
Danny Castillo,d1e7fc58d4225cdf,2015-07-24,Lightweight,0.5833333333333334,12,-2,5.468128000321326,1.0254886439290642,0.3760040346282816,43.599999999999994,0.03333333333333333,2.760679168006231,0.9400454581494304,1.7674033741656656,0.042120679554774464,0.49509549270519787,0.16217948717948716,0.3427250201153149,0.6087005321389997,0.1672699194080773,0.22402954845292303,False
Josh Fremd,ca43de99b07b6b40,2023-03-10,Middleweight,0.0,2,-2,5.5,0.2,0.1,19.599999999999998,0.0,3.5,1.6,0.4,0.1,0.6586021505376345,0.2768817204301075,0.06451612903225806,0.4247311827956989,0.4388440860215054,0.1364247311827957,True
Jessica Andrade,6a1901c62ab3870f,2025-08-15,Women's Flyweight,0.5862068965517241,29,-2,11.104039923372284,0.433497642441124,0.22930990739923707,21.93793103448276,0.048275862068965524,8.17234730483917,1.9754536375766347,0.956238980956478,0.04137931034482759,0.6731653960934858,0.20080948862475595,0.12602511528175817,0.5203979090668323,0.26299144685405823,0.21661064407910943,False
Loopy Godinez,8e5d953bdb9ae5e7,2025-08-15,Women's Strawweight,0.6153846153846154,13,1,10.533552551338017,0.907361090178861,0.4122851740537787,33.90769230769231,0.011864741941862765,9.217005222399036,0.9886464548625877,0.32790087407639257,0.1236212776143831,0.7953752972065706,0.11964816685252587,0.08497653594090339,0.741352741087041,0.18906128034409672,0.0695859785688623,True
Al Iaquinta,59279a7c978f7da0,2019-10-04,Lightweight,0.6923076923076923,13,-1,11.184615384615388,0.6153846153846154,0.12307692307692308,10.153846153846153,0.10769230769230768,10.276923076923076,0.47692307692307695,0.4307692307692308,0.04615384615384616,0.8760314852480309,0.046861334374199,0.07710718037777006,0.69727031968696,0.17464582634012277,0.12808385397291716,False
Dan Hooker,193b9d1858bc4df3,2019-10-04,Lightweight,0.6666666666666666,12,1,7.246491228070177,0.12488457987072944,0.047183748845798706,13.583333333333334,0.09999999999999999,6.1413204062788544,0.7497691597414589,0.3554016620498615,0.05000000000000001,0.8028292463885521,0.08872760605216745,0.10844314755928026,0.6524217029103814,0.14728051416337642,0.20029778292624212,True
Rani Yahya,94527830000ab715,2018-08-24,Bantamweight,0.7857142857142857,14,2,3.0952519076161638,1.0212741573078006,0.36540161671534105,38.457142857142856,0.0,2.1684901161987904,0.22802522289842297,0.6987365685189504,0.22412110782613773,0.620672206301034,0.05690305457254611,0.32242473912641983,0.5436082386018292,0.19404135839472686,0.26235040300344387,True
Luke Sanders,96428b9e9bd048ea,2018-08-24,Bantamweight,0.5,4,1,10.100000000000001,0.15000000000000002,0.05,20.799999999999997,0.1,5.2,0.9500000000000001,3.95,0.05,0.6853643953218265,0.08746217406983489,0.22717343060833864,0.834247196147273,0.11881668912000212,0.0469361147327249,False
Farid Basharat,a09ed60aa67a3f67,2024-10-25,Bantamweight,1.0,3,3,5.8128214105107565,1.4647372311043683,0.5554946123623915,53.0,0.0,4.427004317890069,0.4062628855953631,0.9795542070253239,0.11451355661881979,0.5509031198686372,0.12219485495347565,0.32690202517788725,0.48467432950191564,0.30268199233716475,0.21264367816091956,True
Victor Hugo,f264ba50b007f39e,2024-10-25,Bantamweight,1.0,1,1,13.6,0.0,0.0,9.8,0.2,11.4,2.2,0.0,0.0,0.8382352941176471,0.16176470588235295,0.0,0.45588235294117646,0.3088235294117647,0.23529411764705882,False
Leon Edwards,f1fac969a1d70b08,2021-06-11,Welterweight,0.8461538461538461,13,9,6.383992448230719,0.7250728821336547,0.2214178651297734,36.58461538461539,0.050885341074020325,4.322738985874851,1.1366918203996,0.9245616419562677,0.05920075817406413,0.6407182255712148,0.14394053612273403,0.21534123830605104,0.6766132076339589,0.2235231865540937,0.09986360581194746,True
Nate Diaz,8355922d564b152c,2021-06-11,Welterweight,0.6,25,-1,10.491649342700468,0.5058780618809099,0.12844820922235764,19.76,0.030685236768802228,7.557900310314615,2.4404696653634286,0.4932793670224251,0.2,0.5941090981008927,0.3124009304999728,0.0934899713991344,0.6997714234302259,0.15361752110873467,0.14661105546103942,False
John Makdessi,c21a036b4e012f1c,2022-09-02,Lightweight,0.6111111111111112,18,1,13.155555555555557,0.03333333333333334,0.0,2.533333333333333,0.06666666666666668,12.155555555555557,0.7000000000000001,0.30000000000000004,0.0,0.8537098108436231,0.04593063507341858,0.044803998527402786,0.46522808423827694,0.23994648349722217,0.23926987670894542,False
Nasrat Haqparast,b7b84ccd221be298,2022-09-02,Lightweight,0.5555555555555556,9,-2,12.844444444444445,0.15555555555555556,0.022222222222222223,6.688888888888889,0.08888888888888889,11.177777777777779,0.7111111111111111,0.9555555555555555,0.0,0.8651583216995403,0.051148025610391196,0.08369365269006845,0.705962872322993,0.21132816037079383,0.0827089673062131,True
Alatengheili,1897b7b913736a7c,2022-04-15,Bantamweight,0.5,4,-2,8.25,1.05,0.35,18.849999999999998,0.0,8.05,0.05,0.15,0.0,0.9722222222222222,0.006944444444444444,0.020833333333333332,0.6876991468804604,0.19468213588241343,0.11761871723712612,True
Kevin Croom,35b3772629e27a49,2022-04-15,Featherweight,0.0,3,-3,5.041297935103245,0.7746312684365783,0.044247787610619475,24.133333333333336,0.06666666666666667,4.752802359882006,0.2218289085545723,0.06666666666666667,0.06666666666666667,0.8805555555555555,0.05277777777777778,0.06666666666666667,0.5416666666666666,0.1486111111111111,0.30972222222222223,False
Greg Hardy,85073dbd1be65ed9,2019-10-17,Heavyweight,0.6666666666666666,3,2,5.266666666666667,0.0,0.0,7.866666666666666,0.0,1.7333333333333334,0.5333333333333333,3.0,0.0,0.3369366903849662,0.11658456486042694,0.5464787447546068,0.8511676701331874,0.11434957124612298,0.034482758620689655,True
Cub Swanson,d247691a6c0e9034,2016-04-15,Featherweight,0.6666666666666666,9,-2,8.644444444444444,0.2222222222222222,0.13333333333333336,8.488888888888889,0.08888888888888889,7.355555555555556,0.37777777777777777,0.911111111111111,0.022222222222222223,0.8549133115136431,0.03404438730554742,0.11104230118080943,0.6770033945348438,0.14462222279868883,0.17837438266646735,True
Hacran Dias,ed209f6618c82e41,2016-04-15,Featherweight,0.6,5,2,4.7065036859681175,1.0955907000189025,0.47864280763656986,49.36,0.0,3.3814895091676638,0.716271186440678,0.6087429903597756,0.08,0.7036191284663271,0.10725806451612903,0.18912280701754386,0.5609467692000398,0.1800184759812244,0.2590347548187356,False
Alan Jouban,cf65d56b0755ed3b,2015-07-14,Welterweight,0.6666666666666666,3,1,7.733333333333333,0.0,0.0,3.533333333333333,0.06666666666666667,6.2,1.4000000000000001,0.13333333333333333,0.0,0.7084669479606188,0.26486638537271445,0.02666666666666667,0.6222925457102672,0.23684950773558366,0.1408579465541491,True
