fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
Mark Choinski,001eb2ab0f30e7ea,2026-02-07,Lightweight,0.0,1,-1,11.6,2.2,0.4,55.8,0.0,10.8,0.4,0.4,0.0,0.9310344827586207,0.034482758620689655,0.034482758620689655,0.8275862068965517,0.1206896551724138,0.05172413793103448
Gabriel Silva,002ca196477ce572,2026-02-07,Bantamweight,0.0,2,-2,3.111712773527842,0.8636141256004269,0.2291629603273439,28.230074719800747,0.0,2.6533868528731546,0.2026441024728696,0.2556818181818182,0.08522727272727273,0.810483870967742,0.1411290322580645,0.04838709677419355,0.7923387096774194,0.0967741935483871,0.11088709677419355
Aalon Cruz,003d82fa384ca1d0,2026-02-07,Lightweight,0.0,2,-2,0.2,0.30000000000000004,0.0,1.6,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Davi Ramos,0052de90691d4a93,2026-02-07,Lightweight,0.5714285714285714,7,-2,5.8,0.7142857142857143,0.2857142857142857,21.599999999999998,0.0,4.542857142857143,0.5714285714285714,0.6857142857142857,0.08571428571428573,0.6967429396000825,0.09284683570397856,0.21041022469593898,0.7275716347144919,0.17805607091321374,0.09437229437229437
Sean McCorkle,008dc37cca279def,2026-02-07,Heavyweight,0.3333333333333333,3,-2,0.703825136612022,0.3092896174863388,0.12131147540983607,16.795628415300545,0.0,0.273224043715847,0.0,0.43060109289617493,0.26666666666666666,0.20833333333333334,0.0,0.4583333333333333,0.5833333333333334,0.08333333333333333,0.0
Jeff Molina,008ea710276c9606,2026-02-07,Flyweight,1.0,3,3,19.106827309236945,0.06666666666666667,0.0,17.443373493975905,0.20000000000000004,15.418473895582329,0.9678714859437751,2.720481927710843,0.0,0.6694294345003565,0.047398589065255736,0.28317197643438774,0.8270807534991932,0.11001350894967915,0.06290573755112762
Jiri Prochazka,009341ed974bad72,2026-02-07,Light Heavyweight,0.75,8,2,11.133219761499149,0.125,0.07500000000000001,13.561967632027256,0.125,8.771039182282793,0.8772146507666099,1.4849659284497445,0.012776831345826235,0.8136901714676634,0.07932057730843724,0.10698925122389935,0.7387059260128638,0.17643013590008874,0.08486393808704748
AJ Dobson,009c4420727149ea,2026-02-07,Middleweight,0.25,4,-1,8.400359066427288,0.3,0.25,20.577109515260325,0.0,7.33491921005386,0.7846499102333933,0.28078994614003594,0.0,0.8546676432162792,0.11598390672631537,0.02934845005740528,0.5484706771183868,0.1457487100307481,0.305780612850865
Glaico Franca Moreira,00a3ff40c4b2cf21,2026-02-07,Lightweight,0.3333333333333333,3,-2,4.831989987514448,1.0608839171098479,0.4444036921572223,40.09077155824509,0.0,3.4225600346388276,1.067570590621789,0.341859362253832,0.05012531328320802,0.6294711916552159,0.28176609369733735,0.08876271464744669,0.5834780880281386,0.1835230267990632,0.2329988851727982
Dylan Andrews,00debc804e2b1cd4,2026-02-07,Middleweight,0.4,5,-3,3.2271653198020425,0.5501246632838439,0.2758930025684395,13.849980580091463,0.11843137254901963,1.7697751049301509,0.7456042097350123,0.711786005136879,0.03921568627450981,0.658,0.16599999999999998,0.176,0.49230769230769234,0.22415384615384615,0.2835384615384615
Luke Rockhold,00e11b5c8b7bfeeb,2026-02-07,Middleweight,0.5454545454545454,11,-3,6.548941745615803,0.35081636766780894,0.10423301753678695,19.78159645232816,0.03636363636363637,3.907317073170732,0.4547470268091111,2.1868776456359607,0.10743801652892562,0.6690173375242606,0.085821387752775,0.24516127472296445,0.4368588178536145,0.37302308865938816,0.19011809348699726
John Salter,010986ee359fb863,2026-02-07,Middleweight,0.3333333333333333,3,-1,2.066666666666667,0.6666666666666666,0.26666666666666666,17.066666666666666,0.0,1.6666666666666667,0.3333333333333333,0.06666666666666667,0.0,0.7142857142857143,0.2698412698412698,0.015873015873015872,0.8412698412698413,0.14285714285714285,0.015873015873015872
Denis Tiuliulin,0112352cb32f5026,2026-02-07,Middleweight,0.16666666666666666,6,-4,5.522222222222222,0.20555555555555557,0.08333333333333333,6.116666666666667,0.06666666666666667,4.6,0.7222222222222222,0.19999999999999998,0.0,0.9116357153917916,0.0746656544712223,0.0136986301369863,0.6912003202767675,0.2595080276918545,0.04929165203137806
Joe Brammer,013da757877044a2,2026-02-07,Lightweight,0.0,2,-2,3.939344262295082,0.19672131147540986,0.09836065573770493,3.6475409836065578,0.0,3.1524590163934425,0.7868852459016394,0.0,0.0,0.8918918918918919,0.10810810810810811,0.0,0.2702702702702703,0.1891891891891892,0.5405405405405406
Gabriel Bonfim,01641ba5df0c69b0,2026-02-07,Welterweight,0.8571428571428571,7,4,7.384976118106818,0.7075987841945288,0.38740772904906645,20.02857142857143,0.028571428571428574,6.514372557533652,0.7563178462874512,0.1142857142857143,0.14285714285714285,0.9221363031122578,0.0632116822357275,0.014652014652014652,0.5492883825274207,0.15755453488833968,0.2931570825842396
Gina Mazany,016a8d958883167c,2026-02-07,Women's Flyweight,0.25,8,-2,4.726191965415762,0.6743847698907679,0.3353995837659169,27.563245033112587,0.018159806295399514,3.1169942448187227,0.9937845094805131,0.6154132111165259,0.018159806295399514,0.5554113740791373,0.22793192735626946,0.0916566985645933,0.4977459035847194,0.2667060644034328,0.11054803201184779
Rachael Ostovich,01784fbc27c68b14,2026-02-07,Women's Flyweight,0.25,4,-3,4.13910411622276,0.286319612590799,0.25,4.8495157384987895,0.0,3.584866828087167,0.4542372881355932,0.1,0.1,0.8823170731707317,0.0676829268292683,0.05,0.5545223577235772,0.2413109756097561,0.20416666666666666
Shavkat Rakhmonov,01afe0916a40c7c5,2026-02-07,Welterweight,1.0,7,7,5.838245676567494,0.5315516606036403,0.13142807152418176,40.685714285714276,0.028571428571428574,3.406974301952509,1.535299802125995,0.8959715724889901,0.13827923228844888,0.5261391666175751,0.17208601469031307,0.3017748186921119,0.727333985301914,0.22565586149324254,0.047010153204843474
Chase Sherman,01b352b6a9074d5c,2026-02-07,Heavyweight,0.26666666666666666,15,-2,12.92,0.02666666666666667,0.013333333333333334,4.906666666666667,0.04000000000000001,11.759999999999998,0.8933333333333333,0.26666666666666666,0.0,0.8631075266317161,0.05630194814736118,0.013923858554256091,0.515598863140587,0.18949095130362828,0.22824351888911806
Benji Radach,01b39decaf0abf6a,2026-02-07,Welterweight,0.6666666666666666,3,-1,1.9843971631205672,0.0,0.0,21.333333333333332,0.09939989088925259,0.4315330060010911,0.2654664484451718,1.2873977086743045,0.0,0.2622710622710623,0.16849816849816848,0.5692307692307693,0.9267399267399267,0.07326007326007326,0.0
Michael Aswell Jr.,01c9e4013afce141,2026-02-07,Featherweight,0.5,2,1,14.8,0.0,0.0,1.5,0.2,13.6,0.2,1.0,0.0,0.8124293785310734,0.020903954802259886,0.16666666666666666,0.8898305084745763,0.08050847457627118,0.029661016949152543
Caros Fodor,01d2ed8c502e3828,2026-02-07,Lightweight,0.0,1,-1,7.06766917293233,1.9548872180451127,0.45112781954887216,19.097744360902254,0.0,4.81203007518797,2.255639097744361,0.0,0.0,0.6808510638297872,0.3191489361702128,0.0,0.5106382978723404,0.2553191489361702,0.23404255319148937
Koji Oishi,01daf32100ed7517,2026-02-07,Welterweight,0.0,2,-2,0.2949367088607595,1.0443037974683544,0.2848101265822785,28.955696202531644,0.0,0.2,0.0,0.0949367088607595,0.0,0.5,0.0,0.5,1.0,0.0,0.0
Josh Bryant,01f022fa494188e2,2026-02-07,Middleweight,0.0,1,-1,1.8,0.4,0.0,0.0,0.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
Henry Briones,01fcef7e3d051722,2026-02-07,Bantamweight,0.2,5,-4,7.12,0.04,0.0,1.7600000000000002,0.04,6.0,0.8,0.32,0.08,0.6459493118821478,0.1040506881178523,0.05,0.4566081120372165,0.2695990017445241,0.07379288621825934
Jay Perrin,01fed6f61ebea01f,2026-02-07,Bantamweight,0.0,3,-3,7.323019784301121,0.646382401257053,0.2696950217841583,25.384615384615387,0.0,6.025826726662381,1.1857724448253697,0.11142061281337047,0.0,0.8717532467532467,0.12067099567099566,0.007575757575757576,0.6156204906204906,0.22655122655122653,0.15782828282828285
Adrian Yanez,0232cabbc30a2372,2026-02-07,Bantamweight,0.6666666666666666,9,-1,9.266666666666666,0.022222222222222223,0.0,2.6222222222222222,0.13333333333333336,8.444444444444445,0.1111111111111111,0.7111111111111111,0.0,0.8825182850918145,0.026377217553688142,0.09110449735449737,0.7281729068853022,0.15411013133713347,0.11771696177756434
Jason Reinhardt,02500fb9fd79a974,2026-02-07,Bantamweight,0.0,3,-3,0.26666666666666666,0.5333333333333333,0.06666666666666667,5.266666666666667,0.0,0.20000000000000004,0.06666666666666667,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.0,0.16666666666666666
Darko Stosic,025f0b1b58fbad01,2026-02-07,Light Heavyweight,0.25,4,-3,6.25,1.0942307692307691,0.5480769230769231,28.9,0.0,4.276923076923077,1.0288461538461537,0.9442307692307692,0.0,0.5447752963881995,0.14743589743589744,0.307788806175903,0.6921663909567135,0.08220636889991728,0.22562724014336916
Sean Sherk,029880cdbf5ca089,2026-02-07,Lightweight,0.6666666666666666,12,1,4.961613459499129,1.1279557074914384,0.36172038177721144,36.724360400444944,0.0,3.291254457986993,0.9299880019691348,0.7403709995430008,0.01724079128189836,0.4200878372693781,0.15496437659862525,0.42494778613199663,0.7677830111945291,0.09608718470274534,0.13612980410272554
