fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
AJ Dobson,009c4420727149ea,2024-03-23,Middleweight,0.25,4,-1,8.400359066427288,0.3,0.25,20.577109515260325,0.0,7.33491921005386,0.7846499102333933,0.28078994614003594,0.0,0.8546676432162792,0.11598390672631537,0.02934845005740528,0.5484706771183868,0.1457487100307481,0.305780612850865
AJ Fletcher,725b1abc9a39d873,2023-09-23,Welterweight,0.25,4,-1,7.094295554838014,0.5472069744914433,0.17543859649122806,28.35644171779141,0.0,6.046771068776234,0.5760736196319018,0.4714508664298784,0.13771929824561402,0.6861875784796677,0.10295566502463055,0.21085675649570174,0.6413411571525163,0.10056795131845842,0.2580908915290254
Aalon Cruz,003d82fa384ca1d0,2021-03-06,Lightweight,0.0,2,-2,0.2,0.30000000000000004,0.0,1.6,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Aaron Brink,cf1a88371c8cb690,2000-11-17,Heavyweight,0.0,1,-1,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Phillips,34c2b3656f88f7ef,2023-04-15,Bantamweight,0.0,4,-4,2.160904847174178,0.22713607764822094,0.12465373961218837,16.897435897435898,0.0,1.3874952401190508,0.4906918687970334,0.28271773825809393,0.06606105045896475,0.6607327141382868,0.2098813209494324,0.1293859649122807,0.36536807705538354,0.5863003095975232,0.048331613347093225
Aaron Riley,f2c8ebbeafd45f2b,2013-07-27,Lightweight,0.3333333333333333,9,-2,6.5667548034549625,0.4687701980139844,0.16091427228391797,21.0,0.0,4.0862212820964805,2.0715905752394383,0.40894294611904347,0.022222222222222223,0.6337482607875982,0.31536716638165907,0.0508845728307426,0.353251107454006,0.3303476287534258,0.31640126379256817
Aaron Rosa,11f8860028b68fcf,2012-03-02,Light Heavyweight,0.3333333333333333,3,-1,7.454851288324797,0.06269592476489029,0.0,3.086933251777659,0.0,4.765196115911003,2.689655172413793,0.0,0.0,0.3847999380852875,0.2818667285813792,0.0,0.39695070041018493,0.22320253850321184,0.046513427753269866
Aaron Simpson,d5f820c11a121050,2012-10-05,Welterweight,0.6,10,-1,7.012595011585117,1.1903411203489163,0.41483320158102766,39.76369905956113,0.09880877742946707,3.0158533460542456,2.6528081777293173,1.3439334878015539,0.05818181818181818,0.3654602770522367,0.4128332557631554,0.22170646718460799,0.5805368348070392,0.21161215423877677,0.20785101095418396
Aaron Wilkinson,338a11d3674eb2d4,2010-12-04,Lightweight,0.0,1,-1,0.0,0.2,0.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,597499ac7a5aac62,2024-03-02,Lightweight,0.0,1,-1,7.6,1.4,0.6,32.8,0.0,6.8,0.8,0.0,0.0,0.8947368421052632,0.10526315789473684,0.0,0.39473684210526316,0.21052631578947367,0.39473684210526316
Abdul-Kerim Edilov,37e03538c960bac6,2017-09-02,Light Heavyweight,1.0,1,1,13.873873873873874,0.3603603603603604,0.3603603603603604,60.0,0.0,1.6216216216216217,1.0810810810810811,11.17117117117117,0.1801801801801802,0.11688311688311688,0.07792207792207792,0.8051948051948052,0.7662337662337663,0.2077922077922078,0.025974025974025976
Abel Trujillo,e14b5aa06eea9653,2017-12-16,Lightweight,0.5,10,-2,4.205431309904154,0.6295846645367412,0.26958466453674124,18.029712460063898,0.04,2.838338658146965,0.6583386581469649,0.7087539936102236,0.02,0.6242276528603714,0.15582187900311398,0.11995046813651464,0.7059325804730776,0.15765493866375985,0.0364124808631625
Abner Lloveras,6448e57a9533b7e4,2015-12-11,Lightweight,0.0,1,-1,18.8,2.0,0.4,34.6,0.0,15.2,3.6,0.0,0.0,0.8085106382978723,0.19148936170212766,0.0,0.5851063829787234,0.35106382978723405,0.06382978723404255
Abu Azaitar,46d0a888d87d91ac,2023-10-21,Middleweight,0.3333333333333333,3,-2,11.933333333333332,0.5,0.20000000000000004,22.033333333333335,0.0,8.622222222222222,1.9777777777777776,1.3333333333333333,0.0,0.713452273411623,0.13935937970490817,0.14718834688346882,0.5387872628726288,0.3302280939476061,0.13098464317976513
Abubakar Nurmagomedov,029e1293e609fd74,2023-06-03,Welterweight,0.5,4,-1,5.620072788353863,0.745464725643897,0.17147256438969766,48.4,0.0,5.05439529675252,0.5340985442329228,0.031578947368421054,0.0,0.9066091954022989,0.08714080459770115,0.00625,0.6683189655172415,0.12047413793103448,0.21120689655172414
Adam Cella,b27b8881d7444114,2013-04-06,Middleweight,0.0,1,-1,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5
Adam Milstead,72ffecf712673af1,2018-12-15,Light Heavyweight,0.5,4,-2,5.463230994152047,0.0,0.0,1.0,0.0,4.377119883040936,0.9013888888888889,0.18472222222222223,0.0,0.8672413793103447,0.09482758620689655,0.03793103448275862,0.8017241379310345,0.09741379310344828,0.10086206896551725
Adam Wieczorek,efa1f6b42c86793c,2018-11-03,Heavyweight,0.6666666666666666,3,-1,3.107740563128001,0.12800721059343567,0.04008016032064129,11.638684066697989,0.0,2.1535110786105327,0.5892088712346905,0.3650206132827781,0.06289308176100629,0.796092796092796,0.11294261294261294,0.09096459096459097,0.3766788766788767,0.3168498168498169,0.30647130647130644
Adam Yandiev,0a95c474e61a6c44,2018-09-15,Middleweight,0.0,1,-1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Adlan Amagov,1e327b281ef6a745,2013-10-19,Welterweight,1.0,2,2,5.3,1.1,0.6,27.4,0.1,2.9,1.5,0.8999999999999999,0.0,0.4421052631578948,0.2982456140350877,0.2596491228070176,0.49122807017543857,0.16578947368421054,0.3429824561403509
Adrian Serrano,e7ec11096eac0282,2000-06-09,Welterweight,0.0,1,-1,1.2,0.4,0.0,37.4,0.0,0.6,0.6,0.0,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0
Adrian Yanez,0232cabbc30a2372,2024-12-14,Bantamweight,0.6666666666666666,9,-1,9.266666666666666,0.022222222222222223,0.0,2.6222222222222222,0.13333333333333336,8.444444444444445,0.1111111111111111,0.7111111111111111,0.0,0.8825182850918145,0.026377217553688142,0.09110449735449737,0.7281729068853022,0.15411013133713347,0.11771696177756434
Adriano Martins,7dcf06c1967801c1,2017-09-09,Lightweight,0.5714285714285714,7,-2,2.9428571428571426,0.14285714285714285,0.1142857142857143,10.742857142857144,0.05714285714285715,2.742857142857143,0.0,0.19999999999999998,0.05714285714285715,0.8988095238095238,0.0,0.10119047619047618,0.6336592329239388,0.07580532212885153,0.2905354449472096
Aisling Daly,e50cd77732d39967,2015-10-24,Women's Strawweight,0.6666666666666666,3,1,4.135366749786178,0.5247178152819437,0.22322045944611082,52.333333333333336,0.0,0.8288701769602351,1.1323575825473118,2.1741389902786312,0.11509281678773205,0.22657721280602636,0.26891086001255493,0.5045119271814187,0.6989563716258632,0.24705743879472689,0.05398618957940992
Akbarh Arreola,c136b2a8852da5bd,2015-11-14,Lightweight,0.25,4,-2,3.9448229294100825,0.15000000000000002,0.15000000000000002,8.015486725663717,0.09424778761061947,2.802269585802577,0.17692998204667865,0.9656233615608267,0.05,0.6755252100840335,0.057352941176470586,0.2671218487394958,0.569047619047619,0.238375350140056,0.1925770308123249
Akihiro Gono,b2acebbef8da14ea,2009-01-31,Welterweight,0.3333333333333333,3,-2,5.763218390804599,0.3333333333333333,0.26666666666666666,18.674220032840722,0.06666666666666667,4.798029556650246,0.5323481116584564,0.43284072249589495,0.06666666666666667,0.7350088183421516,0.15608465608465608,0.10890652557319223,0.26366843033509696,0.33730158730158727,0.39902998236331566
Akira Corassani,3f52ce18fb98008f,2015-01-24,Featherweight,0.5,6,-3,4.430163304514889,0.2333333333333333,0.06666666666666667,9.790970220941402,0.0,3.8482228626320842,0.581940441882805,0.0,0.0,0.9144781144781144,0.08552188552188551,0.0,0.673063973063973,0.1422348484848485,0.18470117845117842
Al Iaquinta,59279a7c978f7da0,2021-11-06,Lightweight,0.6,10,-3,10.165322840123485,0.557919039958259,0.02,1.558532110091743,0.12000000000000002,9.726974216270273,0.26,0.17834862385321104,0.0,0.9310334232040083,0.038787381745282234,0.03017919505070954,0.6359204495683846,0.18673961330144237,0.17733993713017301
Alan Baudot,c9a94278df042f46,2022-06-25,Heavyweight,0.25,4,-2,7.693908629441625,0.0,0.0,7.9637055837563455,0.05,5.003553299492386,1.6903553299492386,1.0,0.0,0.7446196660482375,0.15801638837353124,0.09736394557823129,0.6397572665429808,0.1324829931972789,0.22775974025974027
Alan Belcher,4130a743d9d22163,2013-04-27,Middleweight,0.6,10,-2,5.331365813974509,0.1,0.04,19.164998644129078,0.04,3.733974509626684,0.577391304347826,1.02,0.08233932929585104,0.6783695349484823,0.072734335839599,0.24889612921191867,0.5910933848030038,0.2089872766206704,0.19991933857632588
Alan Jouban,cf65d56b0755ed3b,2020-11-21,Welterweight,0.6,10,1,10.940000000000001,0.18,0.08,8.54,0.16,8.9,1.2999999999999998,0.74,0.04,0.8156899094902798,0.11226484488171876,0.07204524562800153,0.5581839844516792,0.1999667633834276,0.24184925216489334
Alan Omer,f2ad06f1007c481a,2015-06-20,Featherweight,0.0,2,-2,8.01948051948052,0.6337662337662338,0.2779220779220779,34.703896103896106,0.0,4.025974025974026,2.6142857142857143,1.3792207792207791,0.0,0.5098522167487685,0.31822660098522165,0.17192118226600986,0.6701970443349754,0.15763546798029557,0.17216748768472906
