fighter,fighter_id,fight_id,event_date,muay_thai,boxing,wrestling,grappling,pace,td_success,ctrl_share,n_fights_norm,win
Tracy Cortez,68d4a891e5cf2029,909cd8633507a0c8,2025-11-15,0.11921778321266174,0.13365538418293,0.39647993445396423,0.3506469428539276,9.616503011331366,0.27340419547941475,44.855411255411255,0.7,0
Amir Sadollah,2650e2f846a30f64,09c1d4c96efd0545,2011-08-14,0.3876349925994873,0.17596270143985748,0.17301853001117706,0.26338377594947815,10.700070154105184,0.1142857142857143,23.989261744966445,0.7,0
Duane Ludwig,84ac950d4c1722dd,09c1d4c96efd0545,2011-08-14,0.16795946657657623,0.5521355867385864,0.11865498125553131,0.16124992072582245,5.400393120393121,0.0,10.752039312039312,0.5,1
Daniel Spitz,f86cb5f25d545e0e,1e3d3545b6dd13a7,2019-10-18,0.2805537283420563,0.2825928032398224,0.16307760775089264,0.2737759053707123,5.066666666666666,0.13333333333333333,4.333333333333333,0.3,0
Joanne Wood,12f91bfa8f1f723b,5885445f39dac389,2020-08-01,0.28540655970573425,0.18381665647029877,0.28427383303642273,0.24650287628173828,13.318982175243189,0.24336673566966494,28.76,1.0,0
Jennifer Maia,8e1f36476ef02a6a,5885445f39dac389,2020-08-01,0.25840333104133606,0.3986508846282959,0.2069326937198639,0.13601303100585938,11.96670643450139,0.05,28.04561929364438,0.4,1
Guangyou Ning,2c1170b825f58e57,80551dceed42e7ab,2015-05-16,0.2357010692358017,0.18274405598640442,0.3338017761707306,0.2477530986070633,6.8,0.4,24.8,0.1,1
Royston Wee,b9c03e7a4557e542,80551dceed42e7ab,2015-05-16,0.1284422129392624,0.08153647929430008,0.5810688734054565,0.20895244181156158,1.9511217948717952,0.40865384615384615,60.0,0.2,0
Erick Silva,5866fc86183a9fb8,dadde3eb4e5f43b4,2014-02-15,0.2249596118927002,0.11825239658355713,0.0987422987818718,0.5580456852912903,2.0817610062893084,0.03773584905660377,6.091823899371069,0.6,1
Zach Reese,23dec7c47cb418f8,938081fae11dcbbf,2025-01-18,0.10008900612592697,0.16623803973197937,0.19412894546985626,0.5395439863204956,5.372549019607843,0.2801120448179272,20.2,0.3,0
Pat Sabatini,b8bbdeff718dbb7d,4f6e7159e77d4215,2022-04-16,0.08645561337471008,0.21735821664333344,0.2708178460597992,0.4253683388233185,1.994550111908227,0.18611657177870256,40.0,0.3,1
TJ Laramie,cd2e5a390821fb48,4f6e7159e77d4215,2022-04-16,0.20786546170711517,0.07365848869085312,0.350768119096756,0.3677079379558563,0.2,0.0,4.6,0.1,0
Virna Jandiroba,7dda2cf308f24a02,7d3da3c4153717de,2025-10-25,0.05615556612610817,0.2219889611005783,0.40588700771331787,0.31596851348876953,4.977426095493961,0.2897289997932924,44.00839160839161,1.0,0
Mackenzie Dern,7447e9f28508106a,7d3da3c4153717de,2025-10-25,0.0918605774641037,0.22789914906024933,0.27154865860939026,0.4086917042732239,7.7526155674592685,0.11256758009005562,34.07850144092219,1.0,1
Misha Cirkunov,67f272324a030d00,92b98afec5eb4e05,2019-09-14,0.2793084979057312,0.20519839227199554,0.2123282551765442,0.30316486954689026,4.175,0.25,11.700000000000001,0.8,1
Jimmy Crute,70e1f8a821b72c8b,92b98afec5eb4e05,2019-09-14,0.045056410133838654,0.09278428554534912,0.07200270891189575,0.7901566624641418,2.4650887573964493,0.0591715976331361,30.800000000000004,0.2,0
Lando Vannata,f9b200db02b488d9,cef255a992ba7af3,2023-04-15,0.26031944155693054,0.34877875447273254,0.18893395364284515,0.20196795463562012,10.97345276872964,0.18333333333333335,9.281053203040175,1.0,0
Daniel Zellhuber,4148802ae4a50768,cef255a992ba7af3,2023-04-15,0.4360203742980957,0.31696099042892456,0.10323753952980042,0.14378108084201813,10.4,0.0,0.0,0.1,1
Sheldon Westcott,ec2d13a87d3d9541,d5778494ce663d7f,2016-01-02,0.3881799578666687,0.062007836997509,0.48892173171043396,0.06089048087596893,3.1,0.35,50.2,0.2,1
Edgar Garcia,8d49545dadf9b919,d5778494ce663d7f,2016-01-02,0.11041384190320969,0.21403200924396515,0.21821090579032898,0.4573432505130768,5.0,0.26666666666666666,14.266666666666666,0.3,0
Mason Jones,f6ad6a1e4d600e0d,d44d735e5079bfb8,2021-10-23,0.1361081749200821,0.16748397052288055,0.3406752943992615,0.3557325601577759,16.999999999999996,0.30000000000000004,27.200000000000003,0.2,1
Leonardo Santos,9c65736747ca92ec,671048cd1933855a,2014-03-23,0.09257323294878006,0.20769506692886353,0.38917601108551025,0.31055572628974915,5.800000000000001,0.2,16.0,0.1,1
Norman Parke,14ff46596ad80609,671048cd1933855a,2014-03-23,0.053040761500597,0.18514738976955414,0.7026481628417969,0.05916368216276169,13.348418491484185,0.4919708029197081,39.333333333333336,0.3,0
Tim Boetsch,c80095f6092271a7,b6620177ac975ff2,2012-07-21,0.25247523188591003,0.21443496644496918,0.23710933327674866,0.2959804832935333,6.1886892527393655,0.2554261416158255,16.383566760037343,0.9,1
Sergei Pavlovich,f14cf73e51b29254,856468ba24a37fcc,2023-04-22,0.07693914324045181,0.7083759307861328,0.06291209161281586,0.15177284181118011,3.6999999999999997,0.0,1.7000000000000002,0.6,1
Curtis Blaydes,fa6796c55d6c5440,856468ba24a37fcc,2023-04-22,0.0920146033167839,0.12741658091545105,0.5511905550956726,0.22937822341918945,6.237534293763499,0.4954865364220432,36.05,1.0,0
Michael Chandler,4b93a88f3b1de35b,d05cb4c4135ce402,2025-04-12,0.1265113353729248,0.26398468017578125,0.19795633852481842,0.4115476608276367,8.561174385226927,0.1551622418879056,21.66741405082212,0.6,0
Paddy Pimblett,7826923b47f8d72a,d05cb4c4135ce402,2025-04-12,0.17010889947414398,0.19329221546649933,0.12188100069761276,0.5147178769111633,6.431487463169636,0.08542839274546592,16.46872852233677,0.6,1
Antonio Carlos Junior,52e76bb4b3e852f3,78736e322574e500,2016-12-30,0.1516258865594864,0.11879739165306091,0.5164487361907959,0.21312803030014038,3.9729099818608997,0.3847929800177225,40.51400394477318,0.6,1
Marvin Vettori,7acbb0972e75281a,78736e322574e500,2016-12-30,0.024514898657798767,0.07043679058551788,0.05501151829957962,0.8500367403030396,2.2,0.2,5.2,0.1,0
Jessica Eye,f72465a784c1b084,35d0ef51fede263c,2019-12-14,0.263544499874115,0.31896695494651794,0.159410759806633,0.2580777406692505,8.995326075702055,0.07322038724373577,15.344927836351031,1.0,1
Viviane Araujo,36541f1e6c5d4955,35d0ef51fede263c,2019-12-14,0.11921340972185135,0.48908597230911255,0.269596666097641,0.12210395932197571,13.3,0.5,13.6,0.2,0
Matthew Riddle,d023ae89a2a4a41e,6ecc59654c2f519f,2012-02-04,0.18658336997032166,0.046254467219114304,0.4328977167606354,0.33426448702812195,6.139394742572541,0.4142520842048381,53.625,0.8,1
Priscila Cachoeira,b1e5bcaad32a3cac,abd50fad1e7b030b,2022-08-13,0.1325552612543106,0.6447960734367371,0.09711150825023651,0.12553717195987701,8.711689824444628,0.028571428571428574,3.2749646393210745,0.7,1
Ariane da Silva,6551c64fbcd1a467,abd50fad1e7b030b,2022-08-13,0.30561792850494385,0.35195884108543396,0.15540257096290588,0.18702071905136108,7.154899241249898,0.028571428571428574,24.294304388422038,0.7,0
Rousimar Palhares,8ddf9c51c5fdea75,c715c165cb3469d2,2012-01-14,0.04367084801197052,0.12530554831027985,0.22683319449424744,0.604190468788147,3.379849986568072,0.22615408542706464,28.25,0.8,1
Mike Massenzio,5b2d7906aa894274,c715c165cb3469d2,2012-01-14,0.059404097497463226,0.14746840298175812,0.5849868655204773,0.20814067125320435,5.440945858638067,0.32240857991988625,31.94348623853211,0.5,0
Joseph Benavidez,80eacd4da0617c57,0fd5485e64712df9,2011-08-14,0.03917667269706726,0.024524278938770294,0.9189508557319641,0.017348144203424454,13.0,1.0,45.4,0.1,1
Eddie Wineland,fc9a9559a05f2704,0fd5485e64712df9,2011-08-14,0.24078039824962616,0.297165185213089,0.31076207756996155,0.15129239857196808,2.7450980392156867,0.19607843137254904,20.0,0.1,0
Dmitrii Smoliakov,75afb06215a07341,c1356395d6b055d7,2017-01-15,0.604249894618988,0.1620650291442871,0.09528279304504395,0.13840222358703613,2.5,0.0,0.0,0.1,0
Cyril Asker,9be6020024133293,c1356395d6b055d7,2017-01-15,0.14897654950618744,0.5568370223045349,0.17972305417060852,0.11446335166692734,3.2,0.0,8.0,0.1,1
Jim Miller,d1941565abf50b16,6275b448b6c35f1f,2015-07-25,0.17372606694698334,0.13785763084888458,0.17545102536678314,0.512965202331543,4.578506753628891,0.16081199835300075,22.617589798792395,1.0,1
Danny Castillo,d1e7fc58d4225cdf,6275b448b6c35f1f,2015-07-25,0.11989609897136688,0.09903088957071304,0.5276095867156982,0.25346338748931885,6.338061088694835,0.3700211286453756,42.493162393162386,1.0,0
Josh Fremd,ca43de99b07b6b40,3cf3771274a4f8b1,2023-03-11,0.5633151531219482,0.1569342017173767,0.11603964120149612,0.1637110561132431,3.988372093023256,0.046511627906976744,11.202325581395348,0.2,1
Jessica Andrade,6a1901c62ab3870f,a2eafd9e1d5031b1,2025-08-16,0.29563504457473755,0.2251329869031906,0.2605847120285034,0.21864718198776245,11.506863820206586,0.22678748996102172,21.871056287794595,1.0,0
Loopy Godinez,8e5d953bdb9ae5e7,a2eafd9e1d5031b1,2025-08-16,0.09477030485868454,0.24702872335910797,0.4852887988090515,0.172912135720253,11.30030994141951,0.4122851740537787,33.49328140214216,1.0,1
Al Iaquinta,59279a7c978f7da0,0697d5520b74a8df,2019-10-05,0.13093778491020203,0.5420845746994019,0.17519043385982513,0.15178713202476501,11.31018606160134,0.12307692307692308,10.137332392378264,1.0,0
Dan Hooker,193b9d1858bc4df3,0697d5520b74a8df,2019-10-05,0.1844393014907837,0.49372658133506775,0.12412849813699722,0.19770556688308716,7.371375807940907,0.047183748845798706,13.583333333333334,1.0,1
Rani Yahya,94527830000ab715,5362ea7c63432cf9,2018-08-25,0.10981381684541702,0.09231209009885788,0.4185034930706024,0.3793705105781555,4.000929734648735,0.3525575800180934,37.10851900393185,1.0,1
Luke Sanders,96428b9e9bd048ea,5362ea7c63432cf9,2018-08-25,0.06934439390897751,0.367048978805542,0.10243580490350723,0.46117088198661804,10.250000000000002,0.05,20.799999999999997,0.4,0
Farid Basharat,a09ed60aa67a3f67,5c783cd188425783,2024-10-26,0.08045312017202377,0.04240477457642555,0.7289454340934753,0.14819665253162384,7.277558641615125,0.5554946123623915,53.0,0.3,1
Victor Hugo,f264ba50b007f39e,5c783cd188425783,2024-10-26,0.35819366574287415,0.424324095249176,0.09821560978889465,0.11926665157079697,9.488372093023255,0.0,6.837209302325581,0.1,0
Leon Edwards,f1fac969a1d70b08,b070b8c2c489d838,2021-06-12,0.15997281670570374,0.23958295583724976,0.36810290813446045,0.23234131932258606,6.585632587060895,0.21057586085488805,34.765088449634064,1.0,1
Nate Diaz,8355922d564b152c,b070b8c2c489d838,2021-06-12,0.2159217745065689,0.24273371696472168,0.18929201364517212,0.3520524501800537,10.290709453342409,0.12004638220325235,18.168872296456417,1.0,0
