fighter,fighter_id,fight_id,event_date,muay_thai,boxing,wrestling,grappling,pace,td_success,ctrl_share,n_fights_norm,win
Daniel Spitz,f86cb5f25d545e0e,1e3d3545b6dd13a7,2019-10-18,0.2805537283420563,0.2825928032398224,0.16307760775089264,0.2737759053707123,5.066666666666666,0.13333333333333333,4.333333333333333,0.3,0
Joanne Wood,12f91bfa8f1f723b,5885445f39dac389,2020-08-01,0.28540655970573425,0.18381665647029877,0.28427383303642273,0.24650287628173828,13.318982175243189,0.24336673566966494,28.76,1.0,0
Jennifer Maia,8e1f36476ef02a6a,5885445f39dac389,2020-08-01,0.25717252492904663,0.39666736125946045,0.21030369400978088,0.13585637509822845,12.25,0.05,28.75,0.4,1
Guangyou Ning,2c1170b825f58e57,80551dceed42e7ab,2015-05-16,0.2357010692358017,0.18274405598640442,0.3338017761707306,0.2477530986070633,6.8,0.4,24.8,0.1,1
Royston Wee,b9c03e7a4557e542,80551dceed42e7ab,2015-05-16,0.1284422129392624,0.08153647929430008,0.5810688734054565,0.20895244181156158,1.9511217948717952,0.40865384615384615,60.0,0.2,0
Zach Reese,23dec7c47cb418f8,938081fae11dcbbf,2025-01-18,0.10008900612592697,0.16623803973197937,0.19412894546985626,0.5395439863204956,5.372549019607843,0.2801120448179272,20.2,0.3,0
Pat Sabatini,b8bbdeff718dbb7d,4f6e7159e77d4215,2022-04-16,0.08645561337471008,0.21735821664333344,0.2708178460597992,0.4253683388233185,1.994550111908227,0.18611657177870256,40.0,0.3,1
TJ Laramie,cd2e5a390821fb48,4f6e7159e77d4215,2022-04-16,0.20786546170711517,0.07365848869085312,0.350768119096756,0.3677079379558563,0.2,0.0,4.6,0.1,0
Virna Jandiroba,7dda2cf308f24a02,7d3da3c4153717de,2025-10-25,0.055655788630247116,0.21965886652469635,0.4118254780769348,0.3128599524497986,5.013789731857597,0.29392480398909665,44.32727272727273,1.0,0
Mackenzie Dern,7447e9f28508106a,7d3da3c4153717de,2025-10-25,0.09077636152505875,0.22561712563037872,0.27402180433273315,0.40958473086357117,7.806794241810855,0.11437353590177511,34.57333333333334,1.0,1
Misha Cirkunov,67f272324a030d00,92b98afec5eb4e05,2019-09-14,0.2793084979057312,0.20519839227199554,0.2123282551765442,0.30316486954689026,4.175,0.25,11.700000000000001,0.8,1
Jimmy Crute,70e1f8a821b72c8b,92b98afec5eb4e05,2019-09-14,0.045056410133838654,0.09278428554534912,0.07200270891189575,0.7901566624641418,2.4650887573964493,0.0591715976331361,30.800000000000004,0.2,0
Lando Vannata,f9b200db02b488d9,cef255a992ba7af3,2023-04-15,0.260295569896698,0.3487713932991028,0.1889922320842743,0.20194081962108612,10.983333333333333,0.18333333333333335,9.283333333333333,1.0,0
Daniel Zellhuber,4148802ae4a50768,cef255a992ba7af3,2023-04-15,0.4360203742980957,0.31696099042892456,0.10323753952980042,0.14378108084201813,10.4,0.0,0.0,0.1,1
Sheldon Westcott,ec2d13a87d3d9541,d5778494ce663d7f,2016-01-02,0.3881799578666687,0.062007836997509,0.48892173171043396,0.06089048087596893,3.1,0.35,50.2,0.2,1
Edgar Garcia,8d49545dadf9b919,d5778494ce663d7f,2016-01-02,0.11041384190320969,0.21403200924396515,0.21821090579032898,0.4573432505130768,5.0,0.26666666666666666,14.266666666666666,0.3,0
Mason Jones,f6ad6a1e4d600e0d,d44d735e5079bfb8,2021-10-23,0.1361081749200821,0.16748397052288055,0.3406752943992615,0.3557325601577759,16.999999999999996,0.30000000000000004,27.200000000000003,0.2,1
Sergei Pavlovich,f14cf73e51b29254,856468ba24a37fcc,2023-04-22,0.07693914324045181,0.7083759307861328,0.06291209161281586,0.15177284181118011,3.6999999999999997,0.0,1.7000000000000002,0.6,1
Curtis Blaydes,fa6796c55d6c5440,856468ba24a37fcc,2023-04-22,0.0920146033167839,0.12741658091545105,0.5511905550956726,0.22937822341918945,6.237534293763499,0.4954865364220432,36.05,1.0,0
Michael Chandler,4b93a88f3b1de35b,d05cb4c4135ce402,2025-04-12,0.11012770235538483,0.24168643355369568,0.19471290707588196,0.45347297191619873,10.441592920353983,0.1551622418879056,24.3,0.6,0
Paddy Pimblett,7826923b47f8d72a,d05cb4c4135ce402,2025-04-12,0.16895094513893127,0.19204996526241302,0.12480207532644272,0.5141969919204712,6.930456535334585,0.08542839274546592,16.733333333333334,0.6,1
Antonio Carlos Junior,52e76bb4b3e852f3,78736e322574e500,2016-12-30,0.14121516048908234,0.11063052713871002,0.5235763788223267,0.22457796335220337,4.23247605681159,0.4033334139427718,41.199999999999996,0.6,1
Marvin Vettori,7acbb0972e75281a,78736e322574e500,2016-12-30,0.024514898657798767,0.07043679058551788,0.05501151829957962,0.8500367403030396,2.2,0.2,5.2,0.1,0
Jessica Eye,f72465a784c1b084,35d0ef51fede263c,2019-12-14,0.25968772172927856,0.31369832158088684,0.16380588710308075,0.26280808448791504,9.358020613107824,0.0766516913319239,16.545454545454547,1.0,1
Viviane Araujo,36541f1e6c5d4955,35d0ef51fede263c,2019-12-14,0.11921340972185135,0.48908597230911255,0.269596666097641,0.12210395932197571,13.3,0.5,13.6,0.2,0
Priscila Cachoeira,b1e5bcaad32a3cac,abd50fad1e7b030b,2022-08-13,0.13265593349933624,0.6438966989517212,0.09744997322559357,0.12599748373031616,9.0,0.028571428571428574,3.3999999999999995,0.7,1
Ariane da Silva,6551c64fbcd1a467,abd50fad1e7b030b,2022-08-13,0.30354011058807373,0.3495601713657379,0.16057276725769043,0.1863269805908203,7.4184873949579835,0.028571428571428574,24.571428571428573,0.7,0
