fight_id,fighter_id,fighter,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
e1100fc357e61fba,b27a1fcb56a3035a,Trevin Giles,0,41 of 53,77%,54 of 66,5 of 5,100%,0,0,5:43,34 of 45,6 of 7,1 of 1,8 of 13,3 of 3,30 of 37
e1100fc357e61fba,984d15d5dc7bfcf9,James Bochnovic,0,5 of 24,20%,15 of 35,0 of 1,0%,0,0,0:08,1 of 19,2 of 3,2 of 2,4 of 23,0 of 0,1 of 1
09c1d4c96efd0545,2650e2f846a30f64,Amir Sadollah,0,95 of 256,37%,96 of 257,0 of 8,0%,0,0,0:59,45 of 170,20 of 51,30 of 35,88 of 243,7 of 13,0 of 0
09c1d4c96efd0545,84ac950d4c1722dd,Duane Ludwig,0,123 of 328,37%,125 of 331,1 of 2,50%,0,0,1:37,96 of 283,22 of 38,5 of 7,102 of 297,20 of 29,1 of 2
1e3d3545b6dd13a7,f86cb5f25d545e0e,Daniel Spitz,0,32 of 108,29%,32 of 108,0 of 0,---,0,0,0:00,20 of 83,6 of 16,6 of 9,32 of 108,0 of 0,0 of 0
1e3d3545b6dd13a7,04c8b08b16a5b99e,Tanner Boser,0,93 of 151,61%,93 of 151,0 of 0,---,0,0,0:00,33 of 86,25 of 27,35 of 38,93 of 151,0 of 0,0 of 0
5885445f39dac389,12f91bfa8f1f723b,Joanne Wood,0,26 of 49,53%,33 of 57,1 of 1,100%,0,0,2:11,6 of 25,9 of 9,11 of 15,24 of 45,0 of 1,2 of 3
5885445f39dac389,8e1f36476ef02a6a,Jennifer Maia,0,20 of 37,54%,31 of 49,0 of 0,---,1,0,0:00,16 of 32,3 of 4,1 of 1,18 of 35,2 of 2,0 of 0
80551dceed42e7ab,2c1170b825f58e57,Guangyou Ning,0,46 of 92,50%,77 of 130,2 of 2,100%,0,0,3:13,30 of 68,8 of 13,8 of 11,39 of 82,0 of 1,7 of 9
80551dceed42e7ab,b9c03e7a4557e542,Royston Wee,0,18 of 32,56%,29 of 43,0 of 0,---,0,0,0:00,3 of 15,6 of 6,9 of 11,18 of 32,0 of 0,0 of 0
dadde3eb4e5f43b4,5866fc86183a9fb8,Erick Silva,0,18 of 18,100%,21 of 21,0 of 0,---,0,0,0:01,14 of 14,4 of 4,0 of 0,2 of 2,2 of 2,14 of 14
dadde3eb4e5f43b4,276c60b14b571dd4,Takenori Sato,0,0 of 0,---,0 of 0,0 of 2,0%,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
